
[format $ npm run format]

> evolution-hub@0.0.1 format
src/components/notifications/NotificationSettings.tsx 18ms (unchanged)
src/components/Pagination.astro 20ms (unchanged)
src/components/pricing/details-config.ts 5ms (unchanged)
src/components/pricing/FeatureComparison.astro 48ms (unchanged)
src/components/pricing/PricingDetailsBootstrap.tsx 3ms (unchanged)
src/components/pricing/PricingDetailsProvider.tsx 49ms (unchanged)
src/components/pricing/PricingTable.astro 93ms (unchanged)
src/components/projects/ProjectList.tsx 9ms (unchanged)
src/components/projects/ProjectManagement.tsx 4ms (unchanged)
src/components/projects/ProjectModal.tsx 8ms (unchanged)
src/components/scripts/AnalyticsCoordinator.astro 14ms (unchanged)
src/components/scripts/AOSCoordinator.astro 12ms (unchanged)
src/components/scripts/AuthSessionPoller.tsx 3ms (unchanged)
src/components/scripts/AuthStatusNotifier.tsx 8ms (unchanged)
src/components/scripts/DebugInterceptors.tsx 1ms (unchanged)
src/components/scripts/HeaderScroll.astro 14ms (unchanged)
src/components/scripts/MagicLinkFormEnhancer.tsx 7ms (unchanged)
src/components/scripts/ProfileFormEnhancer.tsx 3ms (unchanged)
src/components/scripts/TypewriterComponent.astro 6ms (unchanged)
src/components/scripts/VerifyEmailCoordinator.astro 9ms (unchanged)
src/components/SettingsScript.astro 2ms (unchanged)
src/components/SkipLink.astro 2ms (unchanged)
src/components/TestimonialCarousel.astro 16ms (unchanged)
src/components/ThemeProvider.astro 4ms (unchanged)
src/components/ThemeToggle.astro 3ms (unchanged)
src/components/Toaster.tsx 1ms (unchanged)
src/components/tools/faq/ContactTeaser.astro 21ms (unchanged)
src/components/tools/imag-enhancer/__tests__/ModelControls.test.tsx 3ms (unchanged)
src/components/tools/imag-enhancer/__tests__/useCompareInteractions.test.tsx 6ms (unchanged)
src/components/tools/imag-enhancer/ActionsGroup.tsx 3ms (unchanged)
src/components/tools/imag-enhancer/api.ts 2ms (unchanged)
src/components/tools/imag-enhancer/CompareSlider.tsx 11ms (unchanged)
src/components/tools/imag-enhancer/CompareView.tsx 4ms (unchanged)
src/components/tools/imag-enhancer/CreditsPanel.tsx 2ms (unchanged)
src/components/tools/imag-enhancer/Dropzone.tsx 3ms (unchanged)
src/components/tools/imag-enhancer/EnhancerActions.tsx 2ms (unchanged)
src/components/tools/imag-enhancer/gating.test.ts 2ms (unchanged)
src/components/tools/imag-enhancer/gating.ts 1ms (unchanged)
src/components/tools/imag-enhancer/HeaderBar.tsx 2ms (unchanged)
src/components/tools/imag-enhancer/HelpModal.tsx 5ms (unchanged)
src/components/tools/imag-enhancer/hooks/useClipboardImagePaste.ts 1ms (unchanged)
src/components/tools/imag-enhancer/hooks/useCompareInteractions.ts 19ms (unchanged)
src/components/tools/imag-enhancer/hooks/useCreditsCheckout.ts 3ms (unchanged)
src/components/tools/imag-enhancer/hooks/useDownload.ts 2ms (unchanged)
src/components/tools/imag-enhancer/hooks/useEnhance.ts 2ms (unchanged)
src/components/tools/imag-enhancer/hooks/useGlobalShortcuts.ts 2ms (unchanged)
src/components/tools/imag-enhancer/hooks/useImageBoxSize.ts 5ms (unchanged)
src/components/tools/imag-enhancer/hooks/usePlanGating.ts 4ms (unchanged)
src/components/tools/imag-enhancer/hooks/useRateLimit.ts 4ms (unchanged)
src/components/tools/imag-enhancer/hooks/useUsage.ts 4ms (unchanged)
src/components/tools/imag-enhancer/hooks/useValidation.ts 2ms (unchanged)
src/components/tools/imag-enhancer/hooks/useViewportUiMetrics.ts 3ms (unchanged)
src/components/tools/imag-enhancer/ModelControls.tsx 3ms (unchanged)
src/components/tools/imag-enhancer/ModelSelect.tsx 2ms (unchanged)
src/components/tools/imag-enhancer/mvp/__tests__/EnhancerActionsMVP.test.tsx 5ms (unchanged)
src/components/tools/imag-enhancer/mvp/__tests__/SimpleResult.test.tsx 4ms (unchanged)
src/components/tools/imag-enhancer/mvp/__tests__/useEnhanceMVP.test.tsx 4ms (unchanged)
src/components/tools/imag-enhancer/mvp/__tests__/useUploadMVP.test.tsx 5ms (unchanged)
src/components/tools/imag-enhancer/mvp/EnhancerActionsMVP.tsx 3ms (unchanged)
src/components/tools/imag-enhancer/mvp/hooks/useEnhanceMVP.ts 1ms (unchanged)
src/components/tools/imag-enhancer/mvp/hooks/useUploadMVP.ts 3ms (unchanged)
src/components/tools/imag-enhancer/mvp/ImagEnhancerMVP.tsx 8ms (unchanged)
src/components/tools/imag-enhancer/mvp/ImagEnhancerRouter.tsx 1ms (unchanged)
src/components/tools/imag-enhancer/mvp/SimpleResult.tsx 3ms (unchanged)
src/components/tools/imag-enhancer/mvp/types.ts 2ms (unchanged)
src/components/tools/imag-enhancer/StatusUsagePill.tsx 1ms (unchanged)
src/components/tools/imag-enhancer/types.ts 1ms (unchanged)
src/components/tools/imag-enhancer/UploadSection.tsx 1ms (unchanged)
src/components/tools/imag-enhancer/UsagePill.tsx 3ms (unchanged)
src/components/tools/imag-enhancer/utils/ui.ts 1ms (unchanged)
src/components/tools/ImagEnhancerIsland.tsx 36ms (unchanged)
src/components/tools/prompt-enhancer/api.ts 3ms (unchanged)
src/components/tools/prompt-enhancer/EnhancerForm.test.tsx 8ms (unchanged)
src/components/tools/prompt-enhancer/EnhancerForm.tsx 23ms (unchanged)
src/components/tools/prompt-enhancer/hooks/useEnhance.ts 2ms (unchanged)
src/components/tools/prompt-enhancer/hooks/useRateLimit.ts 3ms (unchanged)
src/components/tools/prompt-enhancer/hooks/useUsage.ts 3ms (unchanged)
src/components/tools/prompt-enhancer/types.ts 1ms (unchanged)
src/components/tools/shared/islandStyles.ts 1ms (unchanged)
src/components/tools/shared/ToolPageHeader.astro 6ms (unchanged)
src/components/tools/ToolCard.astro 19ms (unchanged)
src/components/tools/ToolDetailsModal.tsx 4ms (unchanged)
src/components/tools/ToolFilter.astro 12ms (unchanged)
src/components/tools/ToolsIndexIsland.tsx 3ms (unchanged)
src/components/tools/video-enhancer/VideoEnhancerIsland.tsx 15ms (unchanged)
src/components/tools/voice-visualizer/api.ts 3ms (unchanged)
src/components/tools/voice-visualizer/hooks/useMicrophone.ts 5ms (unchanged)
src/components/tools/voice-visualizer/hooks/useTranscribeStream.ts 7ms (unchanged)
src/components/tools/voice-visualizer/VisualizerCanvas.tsx 3ms (unchanged)
src/components/tools/voice-visualizer/VoiceVisualizerIsland.tsx 10ms (unchanged)
src/components/tools/web-eval/WebEvalIsland.tsx 1ms (unchanged)
src/components/tools/webscraper/WebscraperForm.tsx 4ms (unchanged)
src/components/tools/webscraper/WebscraperIsland.tsx 8ms (unchanged)
src/components/tools/webscraper/WebscraperResults.tsx 22ms (unchanged)
src/components/ui/Alert.tsx 2ms (unchanged)
src/components/ui/Button.astro 5ms (unchanged)
src/components/ui/Button.tsx 3ms (unchanged)
src/components/ui/buttonStyles.ts 1ms (unchanged)
src/components/ui/Card.tsx 1ms (unchanged)
src/components/ui/ComingSoon.astro 8ms (unchanged)
src/components/ui/DebugPanel.tsx 35ms (unchanged)
src/components/ui/DebugPanelOverlay.tsx 29ms (unchanged)
src/components/ui/FormLabel.astro 2ms (unchanged)
src/components/ui/Icon.astro 141ms (unchanged)
src/components/ui/Icon.tsx 4ms (unchanged)
src/components/ui/icons/Icon.astro 3ms (unchanged)
src/components/ui/icons/SpriteDefs.astro 3ms (unchanged)
src/components/ui/icons/Upload.tsx 1ms (unchanged)
src/components/ui/Input.astro 4ms (unchanged)
src/components/ui/Skeleton.astro 4ms (unchanged)
src/config/ai-image.ts 3ms (unchanged)
src/config/ai-image/entitlements.ts 3ms (unchanged)
src/config/ai-video.ts 1ms (unchanged)
src/config/ai-video/entitlements.ts 1ms (unchanged)
src/config/coming-soon.ts 2ms (unchanged)
src/config/contact.ts 1ms (unchanged)
src/config/logging.ts 7ms (unchanged)
src/config/prompt-enhancer.ts 2ms (unchanged)
src/config/social.ts 1ms (unchanged)
src/config/voice/entitlements.ts 1ms (unchanged)
src/config/voice/index.ts 1ms (unchanged)
src/config/web-eval/entitlements.ts 1ms (unchanged)
src/config/webscraper.ts 2ms (unchanged)
src/config/webscraper/entitlements.ts 1ms (unchanged)
src/content/config.ts 2ms (unchanged)
src/content/testimonials/imag/de/leila-m.md 12ms (unchanged)
src/content/testimonials/imag/de/nina-p.md 2ms (unchanged)
src/content/testimonials/imag/en/amira-k.md 2ms (unchanged)
src/content/testimonials/imag/en/mika-s.md 1ms (unchanged)
src/content/testimonials/prompt/de/andreas-b.md 1ms (unchanged)
src/content/testimonials/prompt/de/karla-s.md 1ms (unchanged)
src/content/testimonials/prompt/en/alex-r.md 1ms (unchanged)
src/content/testimonials/prompt/en/sara-t.md 1ms (unchanged)
src/content/testimonials/video/de/jonas-k.md 1ms (unchanged)
src/content/testimonials/video/de/lina-r.md 1ms (unchanged)
src/content/testimonials/video/en/chris-p.md 1ms (unchanged)
src/content/testimonials/video/en/ivy-l.md 1ms (unchanged)
src/content/testimonials/voice/de/diego-r.md 1ms (unchanged)
src/content/testimonials/voice/de/hania-l.md 1ms (unchanged)
src/content/testimonials/voice/en/jane-d.md 1ms (unchanged)
src/content/testimonials/voice/en/omar-a.md 1ms (unchanged)
src/content/testimonials/web/de/felix-h.md 1ms (unchanged)
src/content/testimonials/web/de/sabine-k.md 1ms (unchanged)
src/content/testimonials/web/en/lucy-w.md 1ms (unchanged)
src/content/testimonials/web/en/mark-g.md 1ms (unchanged)
src/content/types.ts 2ms (unchanged)
src/env.d.ts 4ms (unchanged)
src/layouts/AuthLayout.astro 4ms (unchanged)
src/layouts/BaseLayout.astro 49ms (unchanged)
src/lib/admin/api-client.ts 14ms (unchanged)
src/lib/aos.test.ts 2ms (unchanged)
src/lib/aos.ts 2ms (unchanged)
src/lib/api-middleware.ts 15ms (unchanged)
src/lib/auth-helpers.ts 5ms (unchanged)
src/lib/auth-v2.ts 5ms (unchanged)
src/lib/auth.ts 1ms (unchanged)
src/lib/beacon-interceptor.ts 3ms (unchanged)
src/lib/blog.ts 12ms (unchanged)
src/lib/client-logger.ts 3ms (unchanged)
src/lib/client/telemetry.ts 2ms (unchanged)
src/lib/console-interceptor.ts 3ms (unchanged)
src/lib/content.ts 6ms (unchanged)
src/lib/content/testimonials.ts 3ms (unchanged)
src/lib/contentful/client.ts 11ms (unchanged)
src/lib/contentful/excerpt.ts 1ms (unchanged)
src/lib/contentful/index.ts 0ms (unchanged)
src/lib/datetime/index.ts 1ms (unchanged)
src/lib/db/helpers.ts 13ms (unchanged)
src/lib/db/schema.ts 20ms (unchanged)
src/lib/db/types.ts 4ms (unchanged)
src/lib/env/environment.ts 3ms (unchanged)
src/lib/error-handler.ts 4ms (unchanged)
src/lib/global-error-interceptor.ts 3ms (unchanged)
src/lib/handlers.ts 3ms (unchanged)
src/lib/i18n.test.ts 2ms (unchanged)
src/lib/i18n.ts 2ms (unchanged)
src/lib/i18n/accept-language.ts 3ms (unchanged)
src/lib/kv/usage.test.ts 5ms (unchanged)
src/lib/kv/usage.ts 13ms (unchanged)
src/lib/locale-path.test.ts 2ms (unchanged)
src/lib/locale-path.ts 3ms (unchanged)
src/lib/network-interceptor.ts 9ms (unchanged)
src/lib/notify.ts 1ms (unchanged)
src/lib/rate-limiter.d.ts 0ms (unchanged)
src/lib/rate-limiter.ts 17ms (unchanged)
src/lib/referrals/utils.ts 1ms (unchanged)
src/lib/response-helpers.ts 5ms (unchanged)
src/lib/script-coordinator.ts 10ms (unchanged)
src/lib/security-headers.ts 5ms (unchanged)
src/lib/security-logger.ts 5ms (unchanged)
src/lib/security/cloudflare-access.ts 3ms (unchanged)
src/lib/security/csrf.d.ts 1ms (unchanged)
src/lib/security/csrf.ts 3ms (unchanged)
src/lib/security/sanitize.d.ts 0ms (unchanged)
src/lib/security/sanitize.ts 2ms (unchanged)
src/lib/seo.ts 1ms (unchanged)
src/lib/services/ai-image-service.ts 42ms (unchanged)
src/lib/services/ai-image/providers/workers-ai.ts 3ms (unchanged)
src/lib/services/ai-jobs-service.ts 20ms (unchanged)
src/lib/services/audit-log-service.ts 4ms (unchanged)
src/lib/services/auth-service-impl.ts 11ms (unchanged)
src/lib/services/auth-service.ts 2ms (unchanged)
src/lib/services/backup-service.ts 19ms (unchanged)
src/lib/services/base-service.ts 2ms (unchanged)
src/lib/services/comment-service-extended.ts 25ms (unchanged)
src/lib/services/comment-service.ts 41ms (unchanged)
src/lib/services/data-export-service.ts 24ms (unchanged)
src/lib/services/email-service-impl.ts 7ms (unchanged)
src/lib/services/email-service.ts 2ms (unchanged)
src/lib/services/logger-utils.ts 3ms (unchanged)
src/lib/services/notification-service.ts 32ms (unchanged)
src/lib/services/performance-service.ts 16ms (unchanged)
src/lib/services/project-service.ts 2ms (unchanged)
src/lib/services/prompt-attachments.ts 7ms (unchanged)
src/lib/services/prompt-enhancer-service.ts 31ms (unchanged)
src/lib/services/provider-error.d.ts 1ms (unchanged)
src/lib/services/provider-error.ts 3ms (unchanged)
src/lib/services/referral-admin-service.ts 8ms (unchanged)
src/lib/services/referral-event-service.ts 2ms (unchanged)
src/lib/services/referral-profile-service.ts 4ms (unchanged)
src/lib/services/referral-reward-service.ts 6ms (unchanged)
src/lib/services/referral-summary-service.ts 5ms (unchanged)
src/lib/services/types.ts 4ms (unchanged)
src/lib/services/user-service.ts 2ms (unchanged)
src/lib/services/voice-stream-aggregator.ts 6ms (unchanged)
src/lib/services/voice-transcribe-service.ts 14ms (unchanged)
src/lib/services/webscraper-service.ts 18ms (unchanged)
src/lib/settings-module.ts 11ms (unchanged)
src/lib/spam-detection.d.ts 1ms (unchanged)
src/lib/spam-detection.ts 8ms (unchanged)
src/lib/stores/project-store.ts 10ms (unchanged)
src/lib/stytch.ts 9ms (unchanged)
src/lib/testing/web-eval/env.ts 2ms (unchanged)
src/lib/testing/web-eval/index.ts 1ms (unchanged)
src/lib/testing/web-eval/provider.ts 2ms (unchanged)
src/lib/testing/web-eval/ssrf.ts 3ms (unchanged)
src/lib/testing/web-eval/storage.ts 4ms (unchanged)
src/lib/testing/web-eval/types.ts 2ms (unchanged)
src/lib/tools-data.ts 4ms (unchanged)
src/lib/types/admin.ts 1ms (unchanged)
src/lib/types/audit.ts 1ms (unchanged)
src/lib/types/comments.ts 3ms (unchanged)
src/lib/types/data-management.ts 3ms (unchanged)
src/lib/types/notifications.ts 3ms (unchanged)
src/lib/types/performance.ts 3ms (unchanged)
src/lib/typewriter.ts 2ms (unchanged)
src/lib/utils/assert.ts 1ms (unchanged)
src/lib/utils/id-generator.d.ts 0ms (unchanged)
src/lib/utils/id-generator.ts 1ms (unchanged)
src/lib/utils/mime.ts 2ms (unchanged)
src/lib/validation/errors.ts 1ms (unchanged)
src/lib/validation/index.ts 1ms (unchanged)
src/lib/validation/schemas/admin-backup.ts 3ms (unchanged)
src/lib/validation/schemas/admin.ts 3ms (unchanged)
src/lib/validation/schemas/ai-image.ts 4ms (unchanged)
src/lib/validation/schemas/ai-video.ts 1ms (unchanged)
src/lib/validation/schemas/billing.ts 1ms (unchanged)
src/lib/validation/schemas/comments.ts 17ms (unchanged)
src/lib/validation/schemas/common.ts 1ms (unchanged)
src/lib/validation/schemas/contact.ts 1ms (unchanged)
src/lib/validation/schemas/dashboard.ts 1ms (unchanged)
src/lib/validation/schemas/newsletter.ts 1ms (unchanged)
src/lib/validation/schemas/notifications.ts 3ms (unchanged)
src/lib/validation/schemas/prompt.ts 1ms (unchanged)
src/lib/validation/schemas/referral.ts 1ms (unchanged)
src/lib/validation/schemas/templates.ts 1ms (unchanged)
src/lib/validation/schemas/users.ts 1ms (unchanged)
src/lib/validation/schemas/voice.ts 2ms (unchanged)
src/lib/validation/schemas/web-eval.ts 3ms (unchanged)
src/lib/validation/schemas/webscraper.ts 2ms (unchanged)
src/lib/validators.ts 10ms (unchanged)
src/lib/xhr-interceptor.ts 7ms (unchanged)
src/locales/archived/de-archived-2025-08-17T05-44-11-726Z.json 1ms (unchanged)
src/locales/archived/de.backup.json 8ms (unchanged)
src/locales/archived/en-archived-2025-08-17T05-44-11-722Z.json 1ms (unchanged)
src/locales/archived/en.backup.json 1ms (unchanged)
src/locales/de.json 17ms (unchanged)
src/locales/en.json 15ms (unchanged)
src/middleware-old.ts 18ms (unchanged)
src/middleware.ts 28ms (unchanged)
src/pages/account/settings.astro 1ms (unchanged)
src/pages/admin/comments.astro 77ms (unchanged)
src/pages/admin/index.astro 2ms (unchanged)
src/pages/admin/status.astro 24ms (unchanged)
src/pages/agb.astro 17ms (unchanged)
src/pages/api/admin/audit/logs/[id].ts 2ms (unchanged)
src/pages/api/admin/audit/logs/index.ts 3ms (unchanged)
src/pages/api/admin/backup.legacy.hono.ts 16ms (unchanged)
src/pages/api/admin/backup/cleanup.ts 3ms (unchanged)
src/pages/api/admin/backup/create.ts 3ms (unchanged)
src/pages/api/admin/backup/jobs/[id]/index.ts 3ms (unchanged)
src/pages/api/admin/backup/jobs/[id]/progress.ts 2ms (unchanged)
src/pages/api/admin/backup/jobs/index.ts 3ms (unchanged)
src/pages/api/admin/backup/maintenance/jobs/[id].ts 2ms (unchanged)
src/pages/api/admin/backup/maintenance/jobs/index.ts 2ms (unchanged)
src/pages/api/admin/backup/maintenance/perform.ts 2ms (unchanged)
src/pages/api/admin/backup/schedule.ts 3ms (unchanged)
src/pages/api/admin/backup/stats.ts 3ms (unchanged)
src/pages/api/admin/backup/verify/[id].ts 2ms (unchanged)
src/pages/api/admin/comments/[id]/index.ts 4ms (unchanged)
src/pages/api/admin/comments/[id]/moderate.ts 3ms (unchanged)
src/pages/api/admin/comments/bulk-moderate.ts 3ms (unchanged)
src/pages/api/admin/comments/index.ts 8ms (unchanged)
src/pages/api/admin/credits/deduct.ts 5ms (unchanged)
src/pages/api/admin/credits/grant.ts 4ms (unchanged)
src/pages/api/admin/credits/history.ts 3ms (unchanged)
src/pages/api/admin/credits/usage.ts 2ms (unchanged)
src/pages/api/admin/ip-geo.ts 4ms (unchanged)
src/pages/api/admin/metrics.ts 10ms (unchanged)
src/pages/api/admin/rate-limits/reset.ts 2ms (unchanged)
src/pages/api/admin/rate-limits/state.ts 1ms (unchanged)
src/pages/api/admin/referrals/list.ts 3ms (unchanged)
src/pages/api/admin/referrals/summary.ts 5ms (unchanged)
src/pages/api/admin/referrals/update-status.ts 3ms (unchanged)
src/pages/api/admin/status.ts 3ms (unchanged)
src/pages/api/admin/telemetry.ts 4ms (unchanged)
src/pages/api/admin/traffic-24h.ts 8ms (unchanged)
src/pages/api/admin/users/[id].ts 5ms (unchanged)
src/pages/api/admin/users/[id]/ban.ts 5ms (unchanged)
src/pages/api/admin/users/[id]/unban.ts 4ms (unchanged)
src/pages/api/admin/users/list.ts 6ms (unchanged)
src/pages/api/admin/users/revoke-sessions.ts 3ms (unchanged)
src/pages/api/admin/users/sessions.ts 2ms (unchanged)
src/pages/api/admin/users/set-plan.ts 9ms (unchanged)
src/pages/api/admin/users/summary.ts 6ms (unchanged)
src/pages/api/AGENTS.md 6ms (unchanged)
src/pages/api/ai-image/generate.ts 13ms (unchanged)
src/pages/api/ai-image/jobs/[id].ts 5ms (unchanged)
src/pages/api/ai-image/jobs/[id]/cancel.ts 3ms (unchanged)
src/pages/api/ai-image/jobs/index.ts 4ms (unchanged)
src/pages/api/ai-image/usage.ts 4ms (unchanged)
src/pages/api/ai-video/generate.ts 6ms (unchanged)
src/pages/api/ai-video/jobs/[id].ts 5ms (unchanged)
src/pages/api/ai-video/upload.ts 4ms (unchanged)
src/pages/api/ai-video/usage.ts 4ms (unchanged)
src/pages/api/analytics/views.ts 4ms (unchanged)
src/pages/api/auth/callback.ts 11ms (unchanged)
src/pages/api/auth/change-password.ts 2ms (unchanged)
src/pages/api/auth/forgot-password.ts 2ms (unchanged)
src/pages/api/auth/login.ts 2ms (unchanged)
src/pages/api/auth/logout.ts 3ms (unchanged)
src/pages/api/auth/magic/request.ts 20ms (unchanged)
src/pages/api/auth/oauth/[provider]/callback.ts 11ms (unchanged)
src/pages/api/auth/oauth/[provider]/start.ts 6ms (unchanged)
src/pages/api/auth/register.ts 1ms (unchanged)
src/pages/api/auth/resend-verification.ts 1ms (unchanged)
src/pages/api/auth/reset-password.ts 2ms (unchanged)
src/pages/api/auth/verify-email.ts 2ms (unchanged)
src/pages/api/billing/cancel.ts 3ms (unchanged)
src/pages/api/billing/credits.ts 3ms (unchanged)
src/pages/api/billing/link-pending.ts 3ms (unchanged)
src/pages/api/billing/portal.ts 4ms (unchanged)
src/pages/api/billing/session.ts 4ms (unchanged)
src/pages/api/billing/stripe-webhook.ts 12ms (unchanged)
src/pages/api/billing/sync-callback.ts 2ms (unchanged)
src/pages/api/billing/sync.ts 7ms (unchanged)
src/pages/api/comments/[id].ts 9ms (unchanged)
src/pages/api/comments/[id]/report.ts 3ms (unchanged)
src/pages/api/comments/count.ts 6ms (unchanged)
src/pages/api/comments/create.ts 3ms (unchanged)
src/pages/api/comments/index.ts 4ms (unchanged)
src/pages/api/comments/moderate.ts 6ms (unchanged)
src/pages/api/comments/performance.ts 5ms (unchanged)
src/pages/api/comments/recent.ts 4ms (unchanged)
src/pages/api/contact/index.ts 5ms (unchanged)
src/pages/api/csp-report.ts 3ms (unchanged)
src/pages/api/dashboard/activity.ts 2ms (unchanged)
src/pages/api/dashboard/billing-summary.ts 5ms (unchanged)
src/pages/api/dashboard/notifications.ts 1ms (unchanged)
src/pages/api/dashboard/perform-action.ts 3ms (unchanged)
src/pages/api/dashboard/projects.ts 2ms (unchanged)
src/pages/api/dashboard/quick-actions.ts 1ms (unchanged)
src/pages/api/dashboard/recommendations.ts 2ms (unchanged)
src/pages/api/dashboard/referral-summary.ts 3ms (unchanged)
src/pages/api/dashboard/stats.ts 2ms (unchanged)
src/pages/api/data-export/index.ts 11ms (unchanged)
src/pages/api/debug-login.ts 4ms (unchanged)
src/pages/api/debug/client-log.ts 3ms (unchanged)
src/pages/api/debug/logs-stream.ts 4ms (unchanged)
src/pages/api/health.ts 4ms (unchanged)
src/pages/api/health/auth.ts 2ms (unchanged)
src/pages/api/internal/users/sync.ts 2ms (unchanged)
src/pages/api/lead-magnets/download.ts 7ms (unchanged)
src/pages/api/mcp/ping.ts 2ms (unchanged)
src/pages/api/newsletter/confirm.ts 5ms (unchanged)
src/pages/api/newsletter/subscribe.ts 3ms (unchanged)
src/pages/api/newsletter/unsubscribe.ts 2ms (unchanged)
src/pages/api/notifications/index.ts 6ms (unchanged)
src/pages/api/notifications/queue/process.ts 4ms (unchanged)
src/pages/api/notifications/settings/index.ts 3ms (unchanged)
src/pages/api/notifications/settings/initialize.ts 1ms (unchanged)
src/pages/api/notifications/settings/utils.ts 2ms (unchanged)
src/pages/api/projects/index.ts 4ms (unchanged)
src/pages/api/prompt-enhance.ts 8ms (unchanged)
src/pages/api/prompt/usage.ts 5ms (unchanged)
src/pages/api/telemetry.ts 3ms (unchanged)
src/pages/api/templates.ts 2ms (unchanged)
src/pages/api/test/rate-limit.ts 1ms (unchanged)
src/pages/api/test/seed-email-token.ts 3ms (unchanged)
src/pages/api/test/seed-referral-events.ts 5ms (unchanged)
src/pages/api/test/seed-suite-v2.ts 5ms (unchanged)
src/pages/api/testing/evaluate/[id].ts 3ms (unchanged)
